id;assignment;userid;timecreated;timemodified;grader;grade;attemptnumber
1;4;8;1569321384;1569316834;-1;-1.0;0
2;26;17;1569340802;1569340671;-1;-1.0;0
3;26;18;1569340805;1569340671;-1;-1.0;0
4;26;19;1569340807;1569340671;-1;-1.0;0
5;25;8;1569399306;1569399128;-1;-1.0;0
6;27;17;1569399307;1569399260;-1;-1.0;0
7;27;18;1569399311;1569399260;-1;-1.0;0
8;27;19;1569399313;1569399260;-1;-1.0;0
79;4;1269;1570725002;1573890843;1404;6.0;0
2095;5;1305;1600417050;1600417050;-1;-1.0;0
2036;34;1235;1580625902;1582026300;1400;0.0;0
1002;34;928;1572777902;1582031333;1400;16.0;0
56;4;436;1570470302;1572514039;1404;3.0;0
67;4;975;1570648502;1572513826;1404;6.0;0
68;4;1370;1570653903;1572514081;1404;0.0;0
11;6;1292;1570355110;1572517973;1404;16.0;0
45;4;1234;1570459502;1572515081;1404;6.0;0
36;4;1193;1570445102;1572515568;1404;6.0;0
10;5;1292;1570355106;1572515946;1404;5.0;0
46;5;1234;1570459517;1572515976;1404;5.0;0
37;5;1193;1570445107;1572516154;1404;5.0;0
62;5;1314;1570530605;1572516297;1404;5.0;0
57;5;436;1570470305;1572516488;1404;5.0;0
69;5;1370;1570654802;1572516502;1404;5.0;0
70;5;939;1570655703;1572516978;1404;5.0;0
61;4;1314;1570530601;1572517298;1404;6.0;0
47;6;1234;1570459531;1572518065;1404;15.0;0
38;6;1193;1570445111;1572519014;1404;13.0;0
63;6;1314;1570536903;1572519292;1404;14.0;0
58;6;436;1570471202;1572519733;1404;12.0;0
12;7;1292;1570355114;1572527531;1404;15.0;0
39;7;1193;1570445115;1572528004;1404;15.0;0
66;7;436;1570559402;1572528316;1404;15.0;0
14;9;1292;1570355121;1572532097;1404;15.0;0
50;9;1234;1570459574;1572532128;1404;15.0;0
41;9;1193;1570445123;1572532516;1404;15.0;0
13;8;1292;1570355118;1572530608;1404;9.0;0
49;8;1234;1570459559;1572530610;1404;7.0;0
15;10;1292;1570355125;1572534662;1404;18.0;0
51;10;1234;1570459588;1572534718;1404;18.0;0
42;10;1193;1570445127;1572535075;1404;20.0;0
59;10;436;1570472102;1572535341;1404;18.0;0
16;11;1292;1570355130;1572536669;1404;8.0;0
52;11;1234;1570459603;1572536681;1404;14.0;0
43;11;1193;1570445131;1572536848;1404;12.0;0
19;4;1350;1570365903;1573890871;1404;3.0;0
17;4;106;1570357803;1573891597;1404;6.0;0
35;4;1198;1570436103;1573892210;1404;6.0;0
27;4;928;1570376703;1573892543;1404;0.0;0
84;5;849;1570741207;1573892987;1404;5.0;0
80;5;1269;1570725903;1573893276;1404;5.0;0
20;5;1350;1570366803;1573893337;1404;4.0;0
53;5;1334;1570462203;1573893342;1404;5.0;0
72;5;1309;1570715108;1573893751;1404;4.0;0
60;5;1198;1570524302;1573894206;1404;5.0;0
28;5;928;1570377603;1573894334;1404;5.0;0
85;6;849;1570793402;1573896225;1404;8.0;0
