id;course;module;instance;section;idnumber;added;score;indent;visible;visibleoncoursepage;visibleold;groupmode;groupingid;completion;completiongradeitemnumber;completionview;completionexpected;showdescription;availability;deletioninprogress
493;5;15;44;43;;1601455059;0;0;1;1;1;0;0;2;;1;0;0;;0
494;5;15;45;43;;1601455200;0;0;1;1;1;0;0;2;;1;0;0;;0
495;5;15;46;43;;1601455362;0;0;1;1;1;0;0;2;;1;0;0;;0
248;5;15;12;38;;1567679805;0;0;1;1;1;0;0;2;;1;0;0;;0
306;5;16;115;39;;1570689034;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
331;5;16;130;40;;1573656447;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
454;5;17;25;43;;1599816346;0;0;1;1;1;0;0;2;;1;0;0;;0
307;5;16;116;39;;1570689388;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
332;5;16;131;40;;1573656902;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
249;5;1;39;38;;1569316579;0;1;1;1;1;0;0;1;;0;0;0;;0
251;5;1;41;38;;1569317573;0;1;1;1;1;0;0;1;;0;0;0;;0
252;5;1;42;38;;1569317838;0;1;1;1;1;0;0;1;;0;0;0;;0
255;5;1;45;38;;1569318239;0;1;1;1;1;0;0;1;;0;0;0;;0
256;5;1;46;38;;1569318780;0;1;1;1;1;0;0;1;;0;0;0;;0
319;5;16;118;40;;1573133050;0;1;1;1;1;2;0;2;0.0;1;0;0;;0
480;5;29;21;41;;1601452734;0;0;1;1;1;0;0;1;;0;0;1;;0
448;5;29;14;38;;1599742277;0;0;1;1;1;0;0;1;;0;0;1;;0
334;5;16;133;40;;1573657867;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
348;5;16;140;41;;1574760160;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
475;5;17;32;38;;1601452463;0;1;1;1;1;0;0;2;;1;0;0;;0
265;5;16;83;38;;1570800233;0;1;1;1;1;0;0;2;0.0;1;0;1;;0
282;5;1;48;39;;1569323409;0;1;1;1;1;2;0;1;;0;0;0;;0
253;5;1;43;38;;1569317989;0;1;1;1;1;0;0;1;;0;0;0;;0
283;5;1;49;39;;1569323648;0;1;1;1;1;0;0;1;;0;0;0;;0
519;5;16;154;40;;1611058676;0;0;0;1;0;0;0;1;;0;0;0;;0
484;5;29;23;39;;1601452988;0;0;1;1;1;0;0;1;;0;0;1;;0
284;5;1;50;39;;1569323991;0;1;1;1;1;0;0;1;;0;0;0;;0
285;5;1;51;39;;1569324314;0;1;1;1;1;0;0;1;;0;0;0;;0
286;5;1;52;39;;1569324485;0;1;1;1;1;0;0;1;;0;0;0;;0
287;5;1;53;39;;1569325097;0;1;1;1;1;0;0;1;;0;0;0;;0
476;5;29;19;39;;1601452601;0;0;1;1;1;0;0;1;;0;0;1;;0
288;5;1;54;39;;1569325571;0;1;1;1;1;0;0;1;;0;0;0;;0
289;5;1;55;39;;1569325704;0;1;1;1;1;0;0;1;;0;0;0;;0
486;5;29;24;40;;1601453074;0;0;1;1;1;0;0;1;;0;0;1;;0
488;5;29;25;41;;1601453131;0;0;1;1;1;0;0;1;;0;0;1;;0
266;5;16;84;38;;1570014335;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
267;5;16;85;38;;1570014429;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
268;5;16;86;38;;1570014524;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
269;5;16;87;38;;1570014616;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
314;5;1;61;40;;1569340565;0;1;1;1;1;0;0;1;;0;0;0;;0
297;5;16;106;39;;1570527401;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
315;5;1;62;40;;1569400104;0;1;1;1;1;0;0;1;;0;0;0;;0
254;5;1;44;38;;1569318112;0;1;1;1;1;0;0;1;;0;0;0;;0
309;5;1;56;40;;1569339160;0;1;1;1;1;0;0;1;;0;0;0;;0
310;5;1;57;40;;1569339432;0;1;1;1;1;0;0;1;;0;0;0;;0
452;5;17;23;43;;1599816104;0;0;1;1;1;0;0;2;;1;0;0;;0
318;5;15;14;40;;1569584996;0;0;1;1;1;0;0;2;;1;0;0;;0
311;5;1;58;40;;1569340303;0;1;1;1;1;0;0;1;;0;0;0;;0
312;5;1;59;40;;1569340460;0;1;1;1;1;0;0;1;;0;0;0;;0
316;5;1;63;40;;1569400782;0;1;1;1;1;0;0;1;;0;0;0;;0
317;5;1;64;40;;1569400999;0;1;1;1;1;0;0;1;;0;0;0;;0
298;5;16;107;39;;1570528130;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
506;5;17;39;38;;1606206284;0;1;1;1;1;0;0;0;;0;0;0;"{""op"":""&"",""c"":[{""type"":""date"",""d"":"">="",""t"":1603666800}],""showc"":[true]}";0
509;5;17;42;41;;1606206763;0;0;1;1;1;0;0;1;;0;0;0;"{""op"":""&"",""c"":[{""type"":""date"",""d"":"">="",""t"":1612134000}],""showc"":[true]}";0
299;5;16;108;39;;1570535585;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
508;5;17;41;40;;1606206539;0;1;1;1;1;0;0;1;;0;0;0;"{""op"":""&"",""c"":[{""type"":""date"",""d"":"">="",""t"":1609714800}],""showc"":[true]}";0
507;5;17;40;39;;1606206397;0;1;1;1;1;0;0;1;;0;0;0;"{""op"":""&"",""c"":[{""type"":""date"",""d"":"">="",""t"":1606086000}],""showc"":[true]}";0
300;5;16;109;39;;1570536218;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
301;5;16;110;39;;1570536571;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
302;5;16;111;39;;1570537262;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
303;5;16;112;39;;1570687556;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
304;5;16;113;39;;1570688088;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
305;5;16;114;39;;1570688589;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
294;5;16;103;39;;1570524843;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
295;5;16;104;39;;1570525773;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
296;5;16;105;39;;1570526585;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
343;5;15;15;41;;1574259801;0;0;1;1;1;0;0;2;;1;0;0;;0
257;5;1;47;38;;1569318952;0;1;1;1;1;0;0;1;;0;0;0;;0
337;5;1;65;41;;1569402331;0;1;1;1;1;0;0;1;;0;0;0;;0
