id;course;section;name;summary;summaryformat;sequence;visible;availability;timemodified
12;3;0;<removed>;<removed>;1;7,8,9,10,96,12;1;"{""op"":""&"",""c"":[],""showc"":[]}";1571385265
30;1;0;<removed>;<removed>;1;212;1;;1571831255
58;7;1;<removed>;<removed>;1;619;1;;1614607565
26;1;1;<removed>;<removed>;1;;1;;1569272019
47;6;0;<removed>;<removed>;1;361,363,364,467,365,366,462,463;1;"{""op"":""&"",""c"":[],""showc"":[]}";1601361146
53;6;6;<removed>;<removed>;1;;0;;1602056603
49;6;2;<removed>;<removed>;1;464,371,372,373,374,375,376,377,378,388,379,380,381,382,383,384,385,386,437,438,439,387;1;;1596105594
59;8;0;<removed>;<removed>;1;522,523,524,525,526,527,528,529;1;"{""op"":""&"",""c"":[],""showc"":[]}";1613473286
61;8;2;<removed>;<removed>;1;533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554;1;;1613473289
60;8;1;<removed>;<removed>;1;530,531,532;1;;1613473286
62;8;3;<removed>;<removed>;1;555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580;1;;1613473292
48;6;1;<removed>;<removed>;1;368,370,367;1;;1596103464
54;7;0;<removed>;<removed>;1;618;1;;1607605582
55;7;2;<removed>;<removed>;1;616;1;;1614603699
56;7;3;<removed>;<removed>;1;512;1;;1614603715
57;7;4;<removed>;<removed>;1;617;1;;1614604080
38;5;1;<removed>;<removed>;1;248,497,249,251,252,253,254,255,256,257,506,448,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,473,475,482,483;1;;1593412771
39;5;2;<removed>;<removed>;1;281,496,282,283,284,285,286,287,288,289,507,458,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,476,477,484,485;1;;1593412775
29;2;9;<removed>;<removed>;1;146,147,148,149;1;"{""op"":""&"",""c"":[],""showc"":[]}";1569958938
63;8;4;<removed>;<removed>;1;581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607;1;;1613473297
64;8;5;<removed>;<removed>;1;608,609,610,611,612,613,614;1;"{""op"":""&"",""c"":[],""showc"":[]}";1613473298
65;8;6;<removed>;<removed>;1;;0;;1602056603
23;2;2;<removed>;<removed>;1;134,107,108,109,110,111,112,113,114,174,175,176,177,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195;1;;1567679655
2;2;1;<removed>;<removed>;1;90,98,121,99,100,101,102,103,104,105,138,150,151,152,153,154,155,196,157,158,159,160,161,162,198,164,165,166,167,168,169,170,171;1;;1569399181
27;2;7;<removed>;<removed>;1;;1;"{""op"":""&"",""c"":[],""showc"":[]}";1570527653
5;2;6;<removed>;<removed>;1;156,163;1;"{""op"":""&"",""c"":[],""showc"":[]}";1569840449
25;2;4;<removed>;<removed>;1;126,127,128,129,130,131,231,235,236,237,238,239,240,241;1;;1574684704
24;2;3;<removed>;<removed>;1;116,117,118,119,120,122,123,124,125,135,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230;1;;1569399762
4;2;5;<removed>;<removed>;1;106,115,132;1;"{""op"":""&"",""c"":[],""showc"":[]}";1569840355
28;2;8;<removed>;<removed>;1;;1;"{""op"":""&"",""c"":[],""showc"":[]}";1569841088
42;5;5;<removed>;<removed>;1;351,352,353;1;"{""op"":""&"",""c"":[],""showc"":[]}";1601453700
1;2;0;<removed>;<removed>;1;137,172,173;1;"{""op"":""&"",""c"":[],""showc"":[]}";1569959422
51;6;4;<removed>;<removed>;1;466,435,412,468,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,446;1;;1594289325
50;6;3;<removed>;<removed>;1;465,389,369,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,410,411,409,445;1;;1593590530
41;5;4;<removed>;<removed>;1;343,499,337,338,339,340,341,342,460,344,345,346,347,348,349,350,480,481,488,489,509;1;;1593412780
40;5;3;<removed>;<removed>;1;318,498,309,310,311,312,314,315,316,317,508,459,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,478,479,486,487,519;1;;1593412778
52;6;5;<removed>;<removed>;1;503,504,505,513,518,520,521,615;1;"{""op"":""&"",""c"":[],""showc"":[]}";1606719279
46;5;9;<removed>;<removed>;1;356,357,358,359;1;"{""op"":""&"",""c"":[],""showc"":[]}";1599744634
44;5;7;<removed>;<removed>;1;;1;"{""op"":""&"",""c"":[],""showc"":[]}";1570527653
45;5;8;<removed>;<removed>;1;;0;"{""op"":""&"",""c"":[],""showc"":[]}";1600504519
17;3;5;<removed>;<removed>;1;140,13,14,73,72,144,64,65,139,59,60,61,234,62;1;"{""op"":""&"",""c"":[],""showc"":[]}";1574328429
14;3;2;<removed>;<removed>;0;145,67,180,18,200,21,199,24,202,27;1;"{""op"":""&"",""c"":[],""showc"":[]}";1569863007
16;3;4;<removed>;<removed>;1;143,70,179,50,209,52,54,56,210,58,242;1;"{""op"":""&"",""c"":[],""showc"":[]}";1571386728
13;3;1;<removed>;<removed>;0;16,17;1;"{""op"":""&"",""c"":[],""showc"":[]}";1565093263
21;3;6;<removed>;<removed>;1;;1;;1565266810
37;5;0;<removed>;<removed>;1;470;1;"{""op"":""&"",""c"":[],""showc"":[]}";1606205804
43;5;6;<removed>;<removed>;1;490,491,492,493,494,495,452,454,455,457;1;"{""op"":""&"",""c"":[],""showc"":[]}";1601455541
15;3;3;<removed>;<removed>;0;211,68,178,28,204,30,206,33,34,208,36,37,207,39,40,41,42,43,205,45,46,47,48,49;1;"{""op"":""&"",""c"":[],""showc"":[]}";1569862264
