id;course;name;intro;introformat;timeopen;timeclose;timelimit;overduehandling;graceperiod;preferredbehaviour;canredoquestions;attempts;attemptonlast;grademethod;decimalpoints;questiondecimalpoints;reviewattempt;reviewcorrectness;reviewmarks;reviewspecificfeedback;reviewgeneralfeedback;reviewrightanswer;reviewoverallfeedback;questionsperpage;navmethod;shuffleanswers;sumgrades;grade;timecreated;timemodified;password;subnet;browsersecurity;delay1;delay2;showuserpicture;showblocks;completionattemptsexhausted;completionpass;allowofflineattempts
12;2;<removed>;<removed>;1;0;0;0;autosubmit;0;deferredfeedback;0;0;0;1;2;-1;69888;4352;4352;4352;4352;4352;4352;1;free;1;2.0;10.0;0;1570013984;;;-;0;0;0;0;0;0;0
55;2;<removed>;<removed>;1;0;0;0;autosubmit;0;deferredfeedback;0;0;0;1;2;-1;69888;4352;4352;4352;4352;0;4352;1;free;1;12.0;10.0;0;1574288876;;;-;0;0;0;0;0;0;0
20;2;<removed>;<removed>;1;0;0;0;autosubmit;0;deferredfeedback;0;0;0;1;2;-1;69888;4352;4352;4352;4352;0;4352;1;free;1;12.0;10.0;0;1574774064;;;-;0;0;0;0;0;0;0
4;3;<removed>;<removed>;1;0;0;0;autoabandon;0;deferredfeedback;0;0;0;1;2;-1;69888;4352;4352;4352;4352;4352;4352;1;free;1;40.0;100.0;0;1580831338;;;-;0;0;0;0;0;1;0
7;2;<removed>;<removed>;1;0;0;0;autosubmit;0;deferredfeedback;0;0;0;1;2;-1;69888;4352;4352;4352;4352;4352;4352;1;free;1;2.0;10.0;0;1570015806;;;-;0;0;0;0;0;0;0
154;5;<removed>;<removed>;1;0;0;0;autosubmit;0;deferredfeedback;0;0;0;1;2;-1;69888;4352;4352;4352;4352;4352;4352;1;free;1;0.0;10.0;0;1611058676;;;-;0;0;0;0;0;0;0
6;2;<removed>;<removed>;1;0;0;0;autosubmit;0;deferredfeedback;0;0;0;1;2;-1;69888;4352;4352;4352;256;4352;4352;1;free;1;153.0;10.0;0;1570004007;;;-;0;0;0;0;0;0;0
17;2;<removed>;<removed>;1;0;0;0;autosubmit;0;deferredfeedback;0;0;0;1;2;-1;69888;4352;4352;4352;4352;4352;4352;1;free;1;2.0;10.0;0;1570014616;;;-;0;0;0;0;0;0;0
10;2;<removed>;<removed>;1;0;0;0;autosubmit;0;deferredfeedback;0;0;0;1;2;-1;69888;4352;4352;4352;4352;0;4352;1;free;1;4.0;10.0;0;1570019945;;;-;0;0;0;0;0;0;0
14;2;<removed>;<removed>;1;0;0;0;autosubmit;0;deferredfeedback;0;0;0;1;2;-1;69888;4352;4352;4352;4352;4352;4352;1;free;1;6.0;10.0;0;1570014335;;;-;0;0;0;0;0;0;0
18;2;<removed>;<removed>;1;0;0;0;autosubmit;0;deferredfeedback;0;0;0;1;2;-1;69888;4352;4352;4352;4352;0;4352;1;free;1;6.0;10.0;0;1570021541;;;-;0;0;0;0;0;0;0
11;2;<removed>;<removed>;1;0;0;0;autosubmit;0;deferredfeedback;0;0;0;1;2;-1;69888;4352;4352;4352;4352;0;4352;1;free;1;8.0;10.0;0;1581671453;;;-;0;0;0;0;0;0;0
3;3;<removed>;<removed>;1;0;0;0;autoabandon;0;deferredfeedback;0;0;0;1;2;-1;69888;4352;4352;4352;4352;4352;4352;1;free;1;22.0;100.0;0;1572442451;;;-;0;0;0;0;0;1;0
13;2;<removed>;<removed>;1;0;0;0;autosubmit;0;deferredfeedback;0;0;0;1;2;-1;69888;4352;4352;4352;4352;4352;4352;1;free;1;6.0;10.0;0;1570801158;;;-;0;0;0;0;0;0;0
15;2;<removed>;<removed>;1;0;0;0;autosubmit;0;deferredfeedback;0;0;0;1;2;-1;69888;4352;4352;4352;4352;4352;4352;1;free;1;8.0;10.0;0;1570014429;;;-;0;0;0;0;0;0;0
16;2;<removed>;<removed>;1;0;0;0;autosubmit;0;deferredfeedback;0;0;0;1;2;-1;69888;4352;4352;4352;4352;4352;4352;1;free;1;8.0;10.0;0;1570014524;;;-;0;0;0;0;0;0;0
19;2;<removed>;<removed>;1;0;0;0;autosubmit;0;deferredfeedback;0;0;0;1;2;-1;69888;4352;4352;4352;4352;4352;4352;1;free;1;2.0;10.0;0;1570014803;;;-;0;0;0;0;0;0;0
51;2;<removed>;<removed>;1;0;0;0;autosubmit;0;deferredfeedback;0;0;0;1;2;-1;69888;4352;4352;4352;4352;0;4352;1;free;1;6.0;10.0;0;1573653371;;;-;0;0;0;0;0;0;0
50;2;<removed>;<removed>;1;0;0;0;autosubmit;0;deferredfeedback;0;0;0;1;2;-1;69888;4352;4352;4352;4352;0;4352;1;free;1;10.0;10.0;0;1573653418;;;-;0;0;0;0;0;0;0
8;2;<removed>;<removed>;1;0;0;0;autosubmit;0;deferredfeedback;0;0;0;1;2;-1;69888;4352;4352;4352;4352;0;4352;1;free;1;4.0;10.0;0;1570019541;;;-;0;0;0;0;0;0;0
9;2;<removed>;<removed>;1;0;0;0;autosubmit;0;deferredfeedback;0;0;0;1;2;-1;69888;4352;4352;4352;4352;0;4352;1;free;1;3.0;10.0;0;1570019610;;;-;0;0;0;0;0;0;0
77;5;<removed>;<removed>;1;0;0;0;autosubmit;0;deferredfeedback;0;0;0;1;2;-1;69888;4352;4352;4352;4352;4352;4352;1;free;1;2.0;10.0;0;1602238028;;;-;0;0;0;0;0;0;0
