id;quiz;userid;attempt;uniqueid;layout;currentpage;preview;state;timestart;timefinish;timemodified;timemodifiedoffline;timecheckstate;sumgrades
53;7;106;3;60;1,0;0;0;finished;1570354517;1570354523;1570354523;0;;0.0
54;7;106;4;61;1,0;0;0;finished;1570354544;1570354556;1570354556;0;;2.0
59;11;106;1;66;1,0;0;0;finished;1570354913;1570355397;1570355397;0;;2.0
55;8;106;1;62;1,0;0;0;finished;1570354578;1570354603;1570354603;0;;2.0
11660;118;1512;1;12069;1,0;0;0;inprogress;1609072621;0;1609072644;0;;
56;8;106;2;63;1,0;0;0;finished;1570354658;1570354685;1570354685;0;;2.0
51;7;106;1;58;1,0;0;0;finished;1570354274;1570354336;1570354336;0;;0.0
52;7;106;2;59;1,0;0;0;finished;1570354454;1570354492;1570354492;0;;0.0
57;9;106;1;64;1,0;0;0;finished;1570354723;1570354801;1570354801;0;;3.0
64;11;106;2;71;1,0;0;0;finished;1570355430;1570355446;1570355446;0;;6.0
58;10;106;1;65;1,0;0;0;finished;1570354818;1570354900;1570354900;0;;4.0
65;11;106;3;72;1,0;0;0;finished;1570355496;1570355505;1570355505;0;;8.0
66;12;106;1;73;1,0;0;0;finished;1570355519;1570355584;1570355584;0;;2.0
68;13;106;1;75;1,0;0;0;finished;1570355604;1570355629;1570355629;0;;6.0
70;14;106;1;77;1,0;0;0;finished;1570355652;1570355690;1570355690;0;;6.0
281;11;1078;1;288;1,0;0;0;inprogress;1570466906;0;1570466906;0;;
12199;85;1283;1;12656;1,0;0;0;finished;1611070328;1611070408;1611070408;0;;5.33333
152;15;1250;1;159;1,0;0;0;finished;1570400677;1570400747;1570400747;0;;8.0
130;11;1250;1;137;1,0;0;0;finished;1570383847;1570384327;1570384327;0;;4.0
120;7;1250;1;127;1,0;0;0;finished;1570380270;1570380354;1570380354;0;;1.0
124;10;1250;1;131;1,0;0;0;finished;1570380872;1570383284;1570383284;0;;3.0
121;7;1250;2;128;1,0;0;0;finished;1570380617;1570380631;1570380631;0;;2.0
122;8;1250;1;129;1,0;0;0;finished;1570380648;1570380749;1570380749;0;;4.0
133;10;1078;1;140;1,0;0;0;finished;1570386292;1570386453;1570386453;0;;2.0
123;9;1250;1;130;1,0;0;0;finished;1570380768;1570380853;1570380853;0;;3.0
128;10;1250;2;135;1,0;0;0;finished;1570383310;1570383442;1570383442;0;;4.0
131;8;1078;1;138;1,0;0;0;finished;1570386054;1570386110;1570386110;0;;4.0
126;7;1078;1;133;1,0;0;0;finished;1570381816;1570382902;1570382902;0;;2.0
132;9;1078;1;139;1,0;0;0;finished;1570386135;1570386213;1570386213;0;;3.0
135;11;1250;2;142;1,0;0;0;finished;1570388443;1570388455;1570388455;0;;6.0
136;11;1250;3;143;1,0;0;0;finished;1570388471;1570388489;1570388489;0;;6.0
158;21;1250;2;165;1,0;0;0;finished;1570401104;1570401116;1570401116;0;;12.0
137;11;1250;4;144;1,0;0;0;finished;1570388506;1570388515;1570388515;0;;8.0
168;28;1250;1;175;1,0;0;0;finished;1570401872;1570401897;1570401897;0;;6.0
138;12;1250;1;145;1,0;0;0;finished;1570388546;1570388836;1570388836;0;;1.6
277;19;1078;1;284;1,0;0;0;finished;1570466295;1570466327;1570466327;0;;2.0
139;12;1250;2;146;1,0;0;0;finished;1570388849;1570389194;1570389194;0;;1.8
159;22;1250;1;166;1,0;0;0;finished;1570401135;1570401349;1570401349;0;;6.0
140;12;1250;3;147;1,0;0;0;finished;1570389210;1570389267;1570389267;0;;2.0
7302;51;263;2;7333;1,0;0;0;finished;1592738817;1592738902;1592738902;0;;6.0
169;13;1250;3;176;1,0;0;0;finished;1570401924;1570401938;1570401938;0;;6.0
141;13;1250;1;148;1,0;0;0;finished;1570389309;1570400518;1570400518;0;;3.0
161;23;1250;1;168;1,0;0;0;finished;1570401361;1570401378;1570401378;0;;2.0
151;13;1250;2;158;1,0;0;0;finished;1570400612;1570400633;1570400633;0;;3.0
163;24;1250;2;170;1,0;0;0;finished;1570401569;1570401600;1570401600;0;;12.0
153;16;1250;1;160;1,0;0;0;finished;1570400779;1570400809;1570400809;0;;8.0
154;17;1250;1;161;1,0;0;0;finished;1570400826;1570400846;1570400846;0;;2.0
155;18;1250;1;162;1,0;0;0;finished;1570400860;1570400891;1570400891;0;;6.0
164;25;1250;1;171;1,0;0;0;finished;1570401617;1570401633;1570401633;0;;6.0
156;19;1250;1;163;1,0;0;0;finished;1570400910;1570400929;1570400929;0;;2.0
157;21;1250;1;164;1,0;0;0;finished;1570400977;1570401060;1570401060;0;;10.0
165;26;1250;1;172;1,0;0;0;finished;1570401643;1570401700;1570401700;0;;6.0
162;24;1250;1;169;1,0;0;0;finished;1570401392;1570401505;1570401505;0;;4.0
166;26;1250;2;173;1,0;0;0;finished;1570401772;1570401782;1570401782;0;;10.0
167;27;1250;1;174;1,0;0;0;finished;1570401815;1570401860;1570401860;0;;4.0
278;17;1078;1;285;1,0;0;0;finished;1570466408;1570466485;1570466485;0;;0.0
282;12;1078;1;289;1,0;0;0;finished;1570467087;1570467334;1570467334;0;;0.0
275;18;1078;1;282;1,0;0;0;finished;1570466128;1570466191;1570466191;0;;6.0
279;17;1078;2;286;1,0;0;0;finished;1570466516;1570466530;1570466530;0;;2.0
255;24;1334;1;262;1,0;0;0;finished;1570460316;1570460454;1570460454;0;;12.0
232;9;1334;1;239;1,0;0;0;finished;1570458258;1570460996;1570460996;0;;3.0
247;15;1334;1;254;1,0;0;0;finished;1570459498;1570459627;1570459627;0;;2.66667
239;7;1334;1;246;1,0;0;0;finished;1570458669;1570458767;1570458767;0;;2.0
241;8;1334;1;248;1,0;0;0;finished;1570458794;1570458895;1570458895;0;;4.0
256;23;1334;1;263;1,0;0;0;finished;1570460466;1570460496;1570460496;0;;1.0
259;17;1334;2;266;1,0;0;0;finished;1570460587;1570460595;1570460595;0;;2.0
251;16;1334;1;258;1,0;0;0;finished;1570459674;1570459932;1570459932;0;;8.0
243;11;1334;1;250;1,0;0;0;finished;1570458947;1570459078;1570459078;0;;8.0
242;10;1334;1;249;1,0;0;0;finished;1570458908;1570461105;1570461105;0;;4.0
245;13;1334;1;252;1,0;0;0;finished;1570459105;1570459295;1570459295;0;;6.0
257;23;1334;2;264;1,0;0;0;finished;1570460512;1570460518;1570460518;0;;2.0
246;14;1334;1;253;1,0;0;0;finished;1570459326;1570459397;1570459397;0;;6.0
252;27;1334;1;259;1,0;0;0;finished;1570459946;1570460112;1570460112;0;;4.0
260;18;1334;1;267;1,0;0;0;finished;1570460615;1570460644;1570460644;0;;6.0
253;26;1334;1;260;1,0;0;0;finished;1570460126;1570460259;1570460259;0;;8.0
254;25;1334;1;261;1,0;0;0;finished;1570460294;1570460306;1570460306;0;;6.0
258;17;1334;1;265;1,0;0;0;finished;1570460532;1570460573;1570460573;0;;0.0
261;19;1334;1;268;1,0;0;0;finished;1570460655;1570460711;1570460711;0;;2.0
262;21;1334;1;269;1,0;0;0;finished;1570460757;1570460817;1570460817;0;;12.0
263;22;1334;1;270;1,0;0;0;finished;1570460828;1570460959;1570460959;0;;6.0
280;10;1078;2;287;1,0;0;0;finished;1570466735;1570466819;1570466819;0;;4.0
329;14;1078;1;336;1,0;0;0;finished;1570474731;1570474875;1570474875;0;;6.0
330;15;1078;1;337;1,0;0;0;finished;1570474978;1570475069;1570475069;0;;2.66667
327;13;1078;1;334;1,0;0;0;finished;1570474507;1570474610;1570474610;0;;6.0
477;8;398;1;484;1,0;0;0;finished;1570608400;1570608568;1570608568;0;;4.0
500;7;604;2;507;1,0;0;0;finished;1570637477;1570637513;1570637513;0;;2.0
1008;17;314;2;1015;1,0;0;0;finished;1571133722;1571133734;1571133734;0;;2.0
432;9;314;1;439;1,0;0;0;finished;1570557931;1570558177;1570558177;0;;3.0
488;11;314;1;495;1,0;0;0;finished;1570633276;1570633458;1570633458;0;;8.0
429;8;314;1;436;1,0;0;0;finished;1570557666;1570557726;1570557726;0;;4.0
424;7;314;1;431;1,0;0;0;finished;1570556277;1570556376;1570556376;0;;0.0
492;12;314;1;499;1,0;0;0;finished;1570634619;1570635861;1570635861;0;;1.6
486;10;314;1;493;1,0;0;0;finished;1570630964;1570631276;1570631276;0;;4.0
499;7;604;1;506;1,0;0;0;finished;1570637337;1570637408;1570637408;0;;0.0
71;15;106;1;78;1,0;0;0;finished;1570355712;1571633271;1571633271;0;;8.0
503;8;604;1;510;1,0;0;0;finished;1570637713;1570637923;1570637923;0;;2.0
504;9;604;1;511;1,0;0;0;finished;1570638026;1570638226;1570638226;0;;3.0
618;15;604;1;625;1,0;0;0;finished;1570712632;1570712667;1570712667;0;;2.66667
510;10;604;1;517;1,0;0;0;finished;1570638415;1570638819;1570638819;0;;4.0
523;13;604;1;530;1,0;0;0;finished;1570641666;1570641706;1570641706;0;;6.0
512;11;604;1;519;1,0;0;0;finished;1570639144;1570639982;1570639982;0;;2.0
516;12;604;1;523;1,0;0;0;finished;1570640510;1570640627;1570640627;0;;0.0
517;12;604;2;524;1,0;0;0;finished;1570640663;1570640709;1570640709;0;;2.0
283;12;1078;2;290;1,0;0;0;finished;1570467526;1570736263;1570736263;0;;2.0
626;21;1078;1;633;1,0;0;0;finished;1570734891;1570735812;1570735812;0;;12.0
524;14;604;1;531;1,0;0;0;finished;1570641793;1570641989;1570641989;0;;6.0
1010;18;314;1;1017;1,0;0;0;finished;1571134770;1571134874;1571134874;0;;6.0
11664;127;1612;1;12073;1,0;0;0;finished;1609084948;1609084952;1609084952;0;;0.0
627;16;1078;1;634;1,0;0;0;finished;1570737361;1570737417;1570737417;0;;8.0
1011;19;314;1;1018;1,0;0;0;finished;1571135000;1571135033;1571135033;0;;2.0
643;13;106;2;650;1,0;0;0;finished;1570767723;1570767966;1570767966;0;;6.0
9754;102;1218;3;10034;1,0;0;0;finished;1604082591;1604082659;1604082659;0;;6.0
644;13;106;3;651;1,0;0;0;inprogress;1570767999;0;1570767999;0;;
9852;81;1788;2;10140;1,0;0;0;inprogress;1604308091;0;1604308091;0;;
645;14;106;2;652;1,0;0;0;finished;1570768019;1570768045;1570768045;0;;6.0
1293;23;1078;1;1300;1,0;0;0;finished;1571317563;1571317607;1571317607;0;;2.0
1597;19;106;1;1604;1,0;0;0;finished;1571633488;1571633506;1571633506;0;;2.0
11661;128;1612;1;12070;1,0;0;0;finished;1609084334;1609084364;1609084364;0;;0.0
1592;16;106;1;1599;1,0;0;0;finished;1571633288;1571633313;1571633313;0;;4.0
735;48;1250;1;742;1,0;0;0;finished;1570831116;1570831170;1570831170;0;;9.0
736;20;1250;1;743;1,0;0;0;finished;1570831343;1570831377;1570831377;0;;12.0
734;21;1250;3;741;1,0;0;0;inprogress;1570831041;0;1570831041;0;;
825;8;1074;1;832;1,0;0;0;finished;1570976397;1570976483;1570976483;0;;4.0
827;7;1074;1;834;1,0;0;0;finished;1570978426;1570978459;1570978459;0;;0.0
1037;23;314;1;1044;1,0;0;0;finished;1571143486;1571143511;1571143511;0;;2.0
1039;25;314;1;1046;1,0;0;0;finished;1571144656;1571144725;1571144725;0;;6.0
1040;26;314;1;1047;1,0;0;0;finished;1571145157;1571145252;1571145252;0;;10.0
1033;20;314;1;1040;1,0;0;0;inprogress;1571142466;0;1571142991;0;;
928;48;314;1;935;1,0;0;0;finished;1571060068;1571060195;1571060195;0;;9.0
1254;9;1074;1;1261;1,0;0;0;finished;1571259525;1571259591;1571259591;0;;3.0
929;14;314;1;936;1,0;0;0;finished;1571061501;1571061741;1571061741;0;;6.0
1038;24;314;1;1045;1,0;0;0;finished;1571143637;1571143852;1571143852;0;;4.0
1294;24;1078;1;1301;1,0;0;0;finished;1571317674;1571317916;1571317916;0;;12.0
12573;149;1593;1;13073;1,0,2,0,3,0;2;0;inprogress;1612477832;0;1612478990;0;;
7305;10;263;2;7336;1,0;0;0;inprogress;1592742938;0;1592742938;0;;
1598;49;106;1;1605;1,0;0;0;inprogress;1571633525;0;1571633525;0;;
13551;18;1067;2;14245;1,0;0;0;inprogress;1614805005;0;1614805005;0;;
1035;22;314;1;1042;1,0;0;0;finished;1571142571;1571143068;1571143068;0;;6.0
1000;15;314;1;1007;1,0;0;0;finished;1571130632;1571130702;1571130702;0;;8.0
1057;15;604;2;1064;1,0;0;0;finished;1571158059;1571158104;1571158104;0;;8.0
1006;17;314;1;1013;1,0;0;0;finished;1571133431;1571133534;1571133534;0;;0.0
1064;19;604;1;1071;1,0;0;0;finished;1571158833;1571158847;1571158847;0;;2.0
1005;16;314;1;1012;1,0;0;0;finished;1571133160;1571133217;1571133217;0;;8.0
1270;7;147;1;1277;1,0;0;0;finished;1571299069;1571299180;1571299180;0;;0.0
1256;10;1074;1;1263;1,0;0;0;finished;1571259864;1571259929;1571259929;0;;4.0
1080;27;604;1;1087;1,0;0;0;finished;1571162124;1571162150;1571162150;0;;4.0
1060;8;1352;1;1067;1,0;0;0;finished;1571158317;1571158925;1571158925;0;;2.0
1054;7;1283;1;1061;1,0;0;0;finished;1571157719;1571158226;1571158226;0;;2.0
1055;7;1352;1;1062;1,0;0;0;finished;1571157795;1571158231;1571158231;0;;2.0
1069;23;604;1;1076;1,0;0;0;finished;1571161280;1571161299;1571161299;0;;2.0
1036;21;314;1;1043;1,0;0;0;finished;1571142733;1571142874;1571142874;0;;12.0
1074;25;604;1;1081;1,0;0;0;finished;1571161686;1571161705;1571161705;0;;6.0
1061;8;1283;1;1068;1,0;0;0;finished;1571158321;1571158929;1571158929;0;;2.0
1059;16;604;1;1066;1,0;0;0;finished;1571158305;1571158326;1571158326;0;;4.0
1295;26;1078;1;1302;1,0;0;0;finished;1571318102;1571318227;1571318227;0;;10.0
1056;48;604;1;1063;1,0;0;0;finished;1571157936;1571157983;1571157983;0;;9.0
1065;9;1352;1;1072;1,0;0;0;inprogress;1571159424;0;1571159424;0;;
1070;24;604;1;1077;1,0;0;0;finished;1571161346;1571161439;1571161439;0;;4.0
1062;17;604;1;1069;1,0;0;0;finished;1571158540;1571158561;1571158561;0;;2.0
1063;18;604;1;1070;1,0;0;0;finished;1571158745;1571158803;1571158803;0;;6.0
1067;20;604;1;1074;1,0;0;0;finished;1571160843;1571160901;1571160901;0;;12.0
1068;21;604;1;1075;1,0;0;0;finished;1571161001;1571161111;1571161111;0;;12.0
1076;26;604;1;1083;1,0;0;0;finished;1571161731;1571161796;1571161796;0;;10.0
1271;8;147;1;1278;1,0;0;0;finished;1571299415;1571299531;1571299531;0;;4.0
1276;8;1218;1;1283;1,0;0;0;finished;1571301474;1571403443;1571403443;0;;4.0
1089;28;604;1;1096;1,0;0;0;finished;1571162879;1571162932;1571162932;0;;6.0
1165;9;1104;1;1172;1,0;0;0;finished;1571231609;1571231661;1571231661;0;;2.0
1272;7;147;2;1279;1,0;0;0;finished;1571299551;1571299571;1571299571;0;;2.0
1162;12;1104;1;1169;1,0;0;0;finished;1571230253;1571230345;1571230345;0;;1.4
1163;7;1104;1;1170;1,0;0;0;finished;1571231159;1571231211;1571231211;0;;2.0
1155;7;263;1;1162;1,0;0;0;finished;1571216889;1571216957;1571216957;0;;2.0
1168;28;314;1;1175;1,0;0;0;finished;1571232122;1571232159;1571232159;0;;6.0
1166;10;1104;1;1173;1,0;0;0;finished;1571231714;1571231880;1571231880;0;;4.0
1161;27;314;1;1168;1,0;0;0;finished;1571230082;1571230130;1571230130;0;;4.0
1164;8;1104;1;1171;1,0;0;0;finished;1571231256;1571231325;1571231325;0;;4.0
1167;11;1104;1;1174;1,0;0;0;finished;1571231901;1571231941;1571231941;0;;8.0
1273;13;147;1;1280;1,0;0;0;finished;1571299646;1571299669;1571299669;0;;0.0
1331;49;314;1;1338;1,0;0;0;finished;1571335513;1571336050;1571336050;0;;4.0
1335;7;314;2;1342;1,0;0;0;finished;1571336776;1571336799;1571336799;0;;2.0
1274;13;147;2;1281;1,0;0;0;finished;1571299707;1571299726;1571299726;0;;6.0
9755;103;1218;3;10035;1,0;0;0;finished;1604082671;1604082716;1604082716;0;;10.0
1291;22;1078;1;1298;1,0;0;0;finished;1571317171;1571317521;1571317521;0;;6.0
1327;28;1078;1;1334;1,0;0;0;finished;1571334145;1571334177;1571334177;0;;6.0
1333;49;314;2;1340;1,0;0;0;finished;1571336171;1571336242;1571336242;0;;6.0
1319;27;1078;1;1326;1,0;0;0;finished;1571332249;1571332302;1571332302;0;;4.0
1277;9;1218;1;1284;1,0;0;0;finished;1571301539;1571402709;1571402709;0;;3.0
1593;16;106;2;1600;1,0;0;0;finished;1571633336;1571633344;1571633344;0;;8.0
1388;10;1218;1;1395;1,0;0;0;finished;1571402740;1571403115;1571403115;0;;3.0
1389;11;1218;1;1396;1,0;0;0;finished;1571403485;1571405886;1571405886;0;;8.0
1425;12;1218;2;1432;1,0;0;0;finished;1571470085;1571470198;1571470198;0;;1.4
1441;21;1218;1;1448;1,0;0;0;finished;1571471607;1571472072;1571472072;0;;10.0
1434;18;1218;1;1441;1,0;0;0;finished;1571470894;1571471088;1571471088;0;;2.0
