userid;Einwilligungserklärung zur Forschungsbeteiligung
1681;Akzeptiert
1506;Akzeptiert
1509;Akzeptiert
269;Akzeptiert
263;Akzeptiert
171;Akzeptiert
1487;Akzeptiert
325;Akzeptiert
967;Akzeptiert
1543;Akzeptiert
1214;Akzeptiert
1596;Akzeptiert
1493;Akzeptiert
1183;Akzeptiert
1577;Akzeptiert
978;Akzeptiert
1515;Akzeptiert
1334;Akzeptiert
1078;Akzeptiert
300;Akzeptiert
1482;Akzeptiert
1508;Akzeptiert
1391;Akzeptiert
1283;Akzeptiert
72;Akzeptiert
68;Akzeptiert
1109;Akzeptiert
1480;Akzeptiert
1353;Akzeptiert
1498;Akzeptiert
1478;Akzeptiert
147;Akzeptiert
106;Akzeptiert
1479;Akzeptiert
1497;Akzeptiert
1512;Akzeptiert
178;Akzeptiert
385;Akzeptiert
1002;Akzeptiert
1484;Akzeptiert
1488;Akzeptiert
443;Akzeptiert
123;Akzeptiert
1499;Akzeptiert
1218;Akzeptiert
1565;Akzeptiert
1584;Akzeptiert
1104;Akzeptiert
468;Akzeptiert
1516;Akzeptiert
1070;Akzeptiert
215;Akzeptiert
695;Akzeptiert
1352;Akzeptiert
1510;Akzeptiert
1489;Akzeptiert
1483;Akzeptiert
1607;Akzeptiert
94;Akzeptiert
1523;Akzeptiert
1377;Akzeptiert
574;Akzeptiert
997;Akzeptiert
1513;Akzeptiert
1511;Akzeptiert
1519;Akzeptiert
288;Akzeptiert
1554;Akzeptiert
1521;Akzeptiert
1463;Akzeptiert
759;Akzeptiert
1116;Akzeptiert
1520;Akzeptiert
261;Akzeptiert
314;Akzeptiert
1023;Akzeptiert
1246;Akzeptiert
1569;Akzeptiert
1074;Akzeptiert
1251;Akzeptiert
1354;Akzeptiert
1460;Akzeptiert
1441;Akzeptiert
1507;Akzeptiert
1022;Akzeptiert
1490;Akzeptiert
604;Akzeptiert
1282;Akzeptiert
1191;Akzeptiert
1517;Akzeptiert
1505;Akzeptiert
1320;Akzeptiert
1434;Akzeptiert
398;Akzeptiert
1481;Akzeptiert
1575;Akzeptiert
1440;Akzeptiert
1485;Akzeptiert
